Name,Category,Subcategory,Summary,ChildSafetyScore,ChildSafetyLabel,ParentalGuidance,LiveLink,AgeGroups,Platform,FreeVersion,AffiliateProgram,AccessibilitySupport,Slug,KidFocusedTag
ChatGPT,General AI Assistants,LLM,AI conversation agent for content creation and assistance.,3,✅ Good (3/4),Use with adult supervision; enable content filters.,https://chat.openai.com,K-5;6-8;9-12;13-18;Parents/Teachers,Web;iOS;Android;Windows;Mac;Linux,Yes,NEEDS_VERIFICATION,Yes,chatgpt,No
Gemini,General AI Assistants,LLM,Google’s multimodal large language model assistant.,3,✅ Good (3/4),Use with supervision; monitor output content.,https://ai.google.com/gemini,K-5;6-8;9-12;13-18;Parents/Teachers,Web;iOS;Android;Chromebook,Yes,NEEDS_VERIFICATION,No,gemini,No
Google Bard,General AI Assistants,LLM,Google conversational AI for creative assistance.,3,✅ Good (3/4),Enable Family Link; supervise usage.,https://bard.google.com,K-5;6-8;9-12;13-18;Parents/Teachers,Web;iOS;Android;Chromebook,Yes,NEEDS_VERIFICATION,No,google-bard,No
Grok,General AI Assistants,AI Chatbot,Conversational AI chatbot with advanced capabilities.,1,❌ Caution (1/4),Not child-focused; adult supervision necessary.,,9-12;13-18;Parents/Teachers,Web,No,No,No,grok,No
ChatOn,General AI Assistants,AI Chatbot,Versatile AI chatbot platform for various uses.,1,❌ Caution (1/4),Not recommended for children; monitor use.,,9-12;13-18;Parents/Teachers,Web,No,No,No,chaton,No
Chatbot AI,General AI Assistants,AI Chatbot,General-purpose chatbot for customer service.,1,❌ Caution (1/4),Adult supervision required; may generate unsuitable content.,,13-18;Parents/Teachers,Web,No,No,No,chatbot-ai,No
Yuanbao,General AI Assistants,AI Assistant,Tencent AI assistant with Chinese market focus.,1,❌ Caution (1/4),Use cautiously with children; monitor usage.,,13-18;Parents/Teachers,Web;iOS;Android,No,No,No,yuanbao,No
Nova,General AI Assistants,AI Assistant,Productivity-boosting AI assistant.,1,❌ Caution (1/4),No child safety features; adult supervision recommended.,,13-18;Parents/Teachers,Web,No,No,No,nova,No
Doubao,General AI Assistants,AI Assistant,ByteDance social & productivity AI chatbot.,1,❌ Caution (1/4),Unclear privacy; supervise kids' access.,,13-18;Parents/Teachers,Web;iOS;Android,No,No,No,doubao,No
DeepSeek,General AI Assistants,AI Search & Coding,Real-time search and coding assistant.,1,❌ Caution (1/4),Technical; not suited for unsupervised kids.,,13-18;Parents/Teachers,Web,No,No,No,deepseek,No
Kimi,General AI Assistants,AI Assistant,Personal assistant for daily task automation.,1,❌ Caution (1/4),No child safety guarantees; supervise use.,,13-18;Parents/Teachers,Web;iOS;Android,No,No,No,kimi,No
Khanmigo,Education,LLM Tutor,Curriculum-aligned AI tutor integrated into Khan Academy.,4,🚀 Excellent (4/4),Use with parent/teacher account; suitable for classrooms.,https://www.khanacademy.org/khanmigo,K-5;6-8;9-12;13-18;Parents/Teachers,Web;iOS;Android,Yes,No,Yes,khanmigo,Yes
Socratic by Google,Education,Homework Help,AI homework helper using voice/photo input.,4,🚀 Excellent (4/4),Integrates Google parental controls; best for mid/high school.,https://socratic.org,6-8;9-12;13-18;Parents/Teachers,Web;iOS;Android,Yes,No,Yes,socratic-google,Yes
Duolingo Max,Education,Language Learning,"AI-augmented, gamified language lessons.",4,🚀 Excellent (4/4),Child-friendly gamification; parental settings available.,https://duolingo.com,K-5;6-8;9-12;13-18;Parents/Teachers,Web;iOS;Android,Yes,No,Yes,duolingo-max,Yes
Quizlet,Education,Study Tools,AI-driven practice tests and learning aids.,3,✅ Good (3/4),Parents should monitor user-generated content.,https://quizlet.com,9-12;13-18;Parents/Teachers,Web;iOS;Android,Yes,No,No,quizlet,No
Brainly Tutor,Education,Homework Help,AI-powered tutoring and homework support.,3,✅ Good (3/4),Supervise open content to avoid unsuitable materials.,https://brainly.com/tutor,9-12;13-18;Parents/Teachers,Web;iOS;Android,Yes,No,No,brainly-tutor,No
Osmo,Education,Educational Games,AI-enhanced educational games for ages 5-12.,4,🚀 Excellent (4/4),Designed for kids; strong privacy; no ads.,https://playosmo.com,K-5;6-8;Parents/Teachers,iOS;Android;Smart Toy,Yes,No,No,osmo,Yes
Peekapak,Education,Social-Emotional Learning,Personalized social learning lessons for kids.,4,🚀 Excellent (4/4),Family-friendly; strong privacy compliance.,https://peekapak.com,K-5;6-8;9-12;Parents/Teachers,Web;iOS;Android,Yes,No,No,peekapak,Yes
LittleLives,Education,School Management,Communication platform for early childhood education.,4,🚀 Excellent (4/4),Complies with child data protection laws.,https://littlelives.com,K-5;6-8;Parents/Teachers,Web;iOS;Android,No,No,No,littlelives,Yes
Epic!,Education,Digital Library,Digital reading platform with AI content recommendations.,4,🚀 Excellent (4/4),Curated content with parental controls.,https://getepic.com,K-5;6-8;9-12;Parents/Teachers,Web;iOS;Android,Yes,No,No,epic,Yes
Name,Category,Subcategory,Summary,ChildSafetyScore,ChildSafetyLabel,ParentalGuidance,LiveLink,AgeGroups,Platform,FreeVersion,AffiliateProgram,AccessibilitySupport,Slug,KidFocusedTag
LittleLit AI,Education,AI Literacy,Platform teaching children AI fundamentals through gamified challenges.,4,🚀 Excellent (4/4),Supervise use; supports safe AI literacy-building.,https://littlelit.ai,K-5;6-8;9-12;Parents/Teachers,Web;iOS;Android,No,NEEDS_VERIFICATION,No,littlelit-ai,Yes
Scratch,Education,Block Coding,Block-based coding environment with AI integration for kids.,4,🚀 Excellent (4/4),Use with adult guidance; promotes computational thinking.,https://scratch.mit.edu,K-5;6-8;9-12;Parents/Teachers,Web;Windows;Mac;Linux;Chromebook,Yes,No,Yes,scratch,Yes
Perplexity AI,Education,Research Assistant,AI tutor answering questions with fact-based responses for learners.,4,🚀 Excellent (4/4),Use with supervision; encourages critical thinking.,https://www.perplexity.ai,9-12;13-18;Parents/Teachers,Web,Yes,NEEDS_VERIFICATION,No,perplexity-ai,No
ClassDojo,Education,Classroom Management,Behavior tracking and communication platform enhancing classroom culture.,4,🚀 Excellent (4/4),Parents and teachers should enable monitoring features.,https://www.classdojo.com,K-5;6-8;Parents/Teachers,Web;iOS;Android,Yes,NEEDS_VERIFICATION,No,classdojo,Yes
Khan Academy Kids,Education,Early Learning,Adaptive AI for literacy and numeracy with animated support.,4,🚀 Excellent (4/4),Ideal for young learners; use with parental involvement.,https://learn.khanacademy.org/khan-academy-kids,K-5;6-8;Parents/Teachers,iOS;Android;Web,Yes,No,No,khan-academy-kids,Yes
MagicSchool AI,Education,Lesson Planning,AI tool creating differentiated lessons and prompts for teachers.,4,🚀 Excellent (4/4),Teachers should ensure age-appropriate content; monitor use.,https://magicschool.ai,K-5;6-8;9-12;Parents/Teachers,Web,No,NEEDS_VERIFICATION,No,magicschool-ai,No
BrainPOP Jr.,Education,Animated Learning,Animated content and AI-curated learning paths aligned to early grades.,4,🚀 Excellent (4/4),Parents should review to ensure appropriateness.,https://www.brainpop.com/jr,K-5;6-8;Parents/Teachers,Web;iOS;Android,Yes,No,Yes,brainpop-jr,Yes
CodeMonkey,Coding & STEM,Game-Based Coding,Entry-level coding platform teaching programming through games.,4,🚀 Excellent (4/4),Great for kids; parents should monitor progress.,https://www.codemonkey.com,K-5;6-8;9-12;Parents/Teachers,Web;iOS;Android,Yes,No,No,codemonkey,Yes
